Date,Open,High,Low,Close,Volume
2020-01-01,709.0239707311703,713.2379348972297,703.1440207320176,705.1040040650685,13433432
2020-01-02,706.1819948982464,719.7058798962978,706.1819948982464,717.0599023966791,16988172
2020-01-03,715.9819115635011,720.0488769795817,711.3269511475052,717.941894896552,20129040
2020-01-06,709.9059632310432,713.62993156384,699.6650503158522,701.2820365656191,23519398
2020-01-07,709.4649669811068,716.7169053133952,706.8679890648142,712.0619448973993,16003342
2020-01-08,707.6029828147083,716.6679057300688,705.3000023983736,706.7699898981618,15393542
2020-01-09,718.6278890631198,723.9198440623574,715.1979182302806,723.0378515624843,14371816
2020-01-10,724.8018365622303,727.6438123951541,719.1178848963825,722.8418532291793,11969550
2020-01-13,721.6658632293487,728.0358090617642,718.5298898964674,720.979869062781,17536912
2020-01-14,719.3138832296877,723.9198440623574,710.7879557309161,714.3159257304078,15171610
2020-01-15,717.3538998966367,719.2158840630351,709.1219698978229,711.7679473974415,15172880
2020-01-16,714.1199273971027,720.832870312802,713.6789311471663,718.3338915631622,12324094
2020-01-17,725.5858298954505,740.2857048933324,725.4388311454718,738.4237207269341,28262088
2020-01-20,751.506609475049,751.506609475049,712.9439373972722,715.6879140635434,31218782
2020-01-21,713.9239290637976,722.0088603126327,710.8859548975687,716.4229078134375,18151140
2020-01-22,721.175867396086,722.4498565625692,715.0999190636282,716.1779098968061,9901900
2020-01-23,717.6478973965943,720.1958757295605,710.2979598976534,713.1399357305772,10789108
2020-01-24,713.2379348972297,717.5498982299418,709.2689686478017,710.6899565642636,14031964
2020-01-27,707.5539832313821,712.0129453140729,702.9480223987124,703.6340165652803,12841860
2020-01-28,704.6140082318058,705.3000023983736,683.5931869848346,687.3661549009577,23531924
2020-01-29,688.4441457341356,697.9500648994326,683.838184901466,691.1881224004069,23737514
2020-01-30,690.7961257337968,691.0901232337544,672.5682807364232,674.332265736169,21489212
2020-01-31,678.644229068881,678.7422282355336,657.2804107386261,659.3383932383294,33333354
2020-02-01,656.398418238753,666.4923324039654,640.4245540743881,646.1085057402357,23128206
2020-02-03,639.8365590744728,653.850439905787,636.6025865749389,647.0884974067612,29459986
