Stock,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,Histogram,ATR14,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_20_High,Donchian_20_Low,RVOL20,RS_vs_NIFTY,RS_ROC20,TrendContinuation_Flag,Breakout_Flag,VCP_Flag,SEPA_Flag,MeanReversion_Flag,Pivot,Pivot_R1,Pivot_S1,HL2,ATR_Super,Upper_Band,Lower_Band,Supertrend,CompositeScore,RS_Leader_Flag
IVZINNIFTY,2025-12-22,2957.85,2970.0,2957.85,2963.26,86,2954.020947100628,2925.6271149122044,2821.7175629001363,47.71788626495822,8.427509848038426,12.917492034408667,-4.489982186370241,31.58571428571437,2988.9549214119083,2935.0670785880916,0.018192992133998408,3109.52,2924.72,1.9724770642201834,,,1,0,1,1,0,2963.7033333333334,2969.556666666667,2957.4066666666668,2963.925,31.58571428571437,3058.6821428571434,2869.167857142857,2910.357142857143,3,0
NV20,2025-12-22,156.4,156.4,154.01,155.58,16577,153.72341484266892,152.2212390709428,149.67531744660346,63.50282485875707,0.7421581568651163,0.7365333130383429,0.005624843826773418,2.3878571428571496,155.52563674732576,152.10736325267422,0.022223061210283317,156.8,151.28,1.7151045492638615,,,1,1,0,1,0,155.33,156.65000000000003,154.26000000000002,155.20499999999998,2.3878571428571496,162.36857142857144,148.04142857142853,150.63928571428573,3,0
SBIETFPB,2025-12-22,294.68,294.68,288.96,290.72,12614,290.6379882103388,287.88797339417476,277.30766943966927,48.69661674986144,0.5625233103409073,1.115713190214281,-0.5531898798733736,4.777142857142865,295.19843855129704,287.8335614487029,0.025264057899374873,299.88,281.81,2.2958965445064297,,,1,0,1,1,0,291.4533333333333,293.94666666666666,288.22666666666663,291.82,4.777142857142865,306.1514285714286,277.4885714285714,283.5607142857143,3,0
ADANIPORTS,2025-12-22,1497.5,1515.0,1497.5,1508.7,1116833,1498.553667580036,1476.6815007303662,1394.3682964014854,47.10234278668315,6.1972581766892745,8.827003649429145,-2.62974547273987,23.55714285714287,1529.5696209152738,1478.300379084726,0.03409006494997975,1549.0,1460.9,0.692914817208634,,,1,0,0,1,0,1507.0666666666666,1516.6333333333332,1499.1333333333332,1506.25,23.55714285714287,1576.9214285714286,1435.5785714285714,1459.1357142857144,2,1
AUTOIETF,2025-12-22,28.43,28.69,28.42,28.6,431021,28.362554278009732,28.0198720179465,26.08378145662045,46.18181818181823,0.08985101987693866,0.12125137821334012,-0.03140035833640145,0.4707142857142857,28.867836501941156,28.03916349805884,0.029123763469601813,29.06,27.81,0.6879091493444234,,,1,0,0,1,0,28.570000000000004,28.720000000000006,28.450000000000006,28.555,0.4707142857142857,29.967142857142857,27.142857142857142,27.781428571428574,2,1
BBNPNBETF,2025-12-22,59.46,59.49,59.42,59.49,1075,59.42168945331172,58.70266950448203,56.07103405467974,49.67948717948724,0.18542001286738952,0.29501030386089533,-0.10959029099350581,0.9485714285714292,60.124969075460605,59.0970309245394,0.017244101775195878,62.0,58.66,0.8153204398938187,,,1,0,0,1,0,59.46666666666667,59.513333333333335,59.443333333333335,59.455,0.9485714285714292,62.300714285714285,56.60928571428571,57.40857142857143,2,0
ALPL30IETF,2025-12-22,27.84,28.08,27.65,28.03,2542110,27.839038821870336,27.747489135536423,27.501415368367265,55.97484276729564,0.030740392158268293,0.032708673617623044,-0.001968281459354751,0.28499999999999936,28.103054353414148,27.60794564658585,0.017774181286578858,28.14,27.58,1.2692682827700517,,,1,0,0,1,0,27.919999999999998,28.189999999999998,27.759999999999998,27.865,0.28499999999999936,28.719999999999995,27.01,27.221428571428575,2,1
AUTOBEES,2025-12-22,284.47,285.93,283.72,285.55,280467,283.1531353060918,279.8682561284297,260.6131613573604,47.263868065967046,0.7986385726454159,1.1080041177947595,-0.30936554514934356,5.125714285714281,288.3589229709242,279.7470770290758,0.030317743314974322,293.0,275.74,0.9933380084151473,,,1,0,0,1,0,285.06666666666666,286.4133333333333,284.2033333333333,284.82500000000005,5.125714285714281,300.2021428571429,269.4478571428572,274.655,2,1
ABSLBANETF,2025-12-22,60.75,60.75,60.0,60.51,16379,60.33200645672629,59.623806897840595,56.866883477307,50.0,0.1737223640172445,0.2727474650933145,-0.09902510107606999,0.8278571428571426,61.1033727703045,59.9456272296955,0.01912854365767581,62.22,58.81,0.14249256283474857,,,1,0,0,1,0,60.419999999999995,60.83999999999999,60.08999999999999,60.375,0.8278571428571426,62.85857142857143,57.89142857142857,59.38357142857142,2,1
BANKNIFTY1,2025-12-22,610.22,613.96,610.21,612.17,8547,610.8357952066461,603.8050099235858,575.8466124512969,48.45533915379437,1.5705116120403773,2.590946442741561,-1.0204348307011837,5.742857142857141,618.6463660489576,606.8736339510424,0.019212631532598726,621.73,604.59,0.18945779426971635,,,1,0,0,1,0,612.1133333333333,614.0166666666667,610.2666666666667,612.085,5.742857142857141,629.3135714285714,594.8564285714286,600.2192857142858,2,0
