,Win_Rate_%,Avg_Return_%,Total_Trades
TrendContinuation,56.595456086809094,0.8837672981779915,2949.0
Breakout,50.46210720887245,0.06329999172221892,541.0
VCP,53.588516746411486,0.8441292793676867,209.0
SEPA,52.38546603475513,0.3914262943365331,3165.0
MeanReversion,52.892561983471076,0.0002399934807596363,726.0
