,Win_Rate_%,Avg_Return_%,Total_Trades
TrendContinuation,56.45655877342419,0.8789199906979961,2935.0
Breakout,50.37037037037037,0.0512673672745733,540.0
VCP,53.588516746411486,0.8441292793676867,209.0
SEPA,52.34622701331643,0.3897206130917228,3154.0
MeanReversion,52.762430939226526,-0.003587339123743155,724.0
