Stock,Close,EMA20,EMA50,EMA200,RSI14,ATR14,RVOL20,RS_ROC20,CompositeScore,TrendContinuation_Flag,VCP_Flag,SEPA_Flag,Breakout_Flag,MeanReversion_Flag
ADANIENT,2239.0,2278.4059618984484,2349.961921350631,2449.925794008876,47.07527975584943,52.78571428571432,0.6720418252017689,,0,0,0,0,0,0
ADANIPORTS,1496.4,1497.485632588461,1475.3746232060184,1393.2103801578373,39.49476278496615,23.69285714285716,0.7595267059630144,,0,0,0,0,0,0
APOLLOHOSP,7012.5,7150.461564048206,7352.198594072192,7286.15011845137,29.779411764705884,107.89285714285714,0.7144664747012701,,0,0,0,0,0,0
ASIANPAINT,2799.9,2811.984224067381,2728.703778427518,2563.6909790547866,41.95770966975532,53.52857142857147,2.8395066272845324,,0,0,0,0,0,0
AXISBANK,1230.6,1255.9204151131253,1236.068291871657,1172.2835626313408,35.2131147540983,20.514285714285734,1.091339919366382,,0,0,0,0,0,0
BAJAJ-AUTO,9002.0,8980.554254748016,8949.41221703326,8777.178903062837,45.17453798767966,140.17857142857142,0.602546281356544,,2,1,0,1,0,0
BAJAJFINSV,2043.8,2057.683150285319,2059.516579692629,1987.0248644644175,42.06349206349201,36.97142857142858,1.3483000574704438,,0,0,0,0,0,0
BHARTIARTL,2097.7,2092.654792029981,2064.037189821616,1912.9641964664827,51.80505415162453,30.15000000000006,1.4170609809239394,,2,1,0,1,0,0
BRITANNIA,6103.0,5950.594417605565,5917.435813160324,5704.277657779198,67.22189173111244,115.53571428571429,0.7127886679908237,,1,0,0,1,0,0
CIPLA,1517.1,1510.9546901635763,1522.2344501090881,1517.74953588714,47.61904761904762,19.407142857142894,0.6922095652093687,,0,0,0,0,0,0
COALINDIA,385.6,381.9661271490336,382.6863233077776,390.7541522505436,61.0389610389612,4.982142857142845,0.9624755125322447,,0,0,0,0,0,0
DIVISLAB,6478.5,6408.341144868472,6410.560628303444,6212.258859634565,54.00572246065808,127.78571428571429,3.352317009677128,,0,0,0,0,0,0
EICHERMOT,7217.0,7119.89623899941,6986.2395811136375,6214.08102027692,55.75833857772184,120.35714285714286,0.8449030656631362,,2,1,0,1,0,0
GRASIM,2812.5,2781.0341246346825,2783.7059549770474,2727.879744667236,71.18200836820085,39.692857142857164,1.1455458377627912,,0,0,0,0,0,0
HCLTECH,1642.4,1645.2331025271772,1598.8474649744871,1583.7607238897256,49.86025712688653,28.08571428571429,1.4545841790929477,,1,1,0,0,0,0
HDFCBANK,985.5,993.6522629033682,991.5187200726465,961.0991426696949,40.2582159624413,12.278571428571436,1.4329093178215244,,0,0,0,0,0,0
HDFCLIFE,766.45,764.7285135066164,762.7613050253509,742.1629038377833,49.82973893303067,15.017857142857135,1.389247175376057,,2,1,0,1,0,0
HEROMOTOCO,5781.0,5942.83753209738,5778.312050099145,5092.113215751474,22.20421393841167,135.10714285714286,1.0524851904808095,,1,0,0,0,0,1
