Stock,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,Histogram,ATR14,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_20_High,Donchian_20_Low,RVOL20,RS_vs_NIFTY,RS_ROC20,TS_Momentum_12M,TS_Momentum_3M,Momentum_Score,Is_Momentum_Stock,TrendContinuation_Flag,Breakout_Flag,VCP_Flag,SEPA_Flag,MeanReversion_Flag,Pivot,Pivot_R1,Pivot_S1,HL2,ATR_Super,Upper_Band,Lower_Band,Supertrend,CompositeScore,RS_Leader_Flag
BSLSENETFG,2025-12-26,86.0,86.95,85.02,85.29,7107,85.09033428898047,84.44918110540189,81.79022437362524,45.52631578947382,0.19135065859495626,0.20038368791444156,-0.009033029319485297,2.025000000000001,85.93519595238003,84.38380404761999,0.018217484893171498,87.82,83.63,3.0024714306837623,,,0.10179563363906485,0.045476832556999414,2,0,1,0,1,1,0,85.75333333333333,86.48666666666666,84.55666666666666,85.985,2.025000000000001,92.06,79.91,80.80285714285714,3,0
GSEC10IETF,2025-12-26,259.99,259.99,259.13,259.98,11174,259.01485664085516,258.77267368060836,255.15001975775323,48.97579143389213,0.039572258315104136,-0.005346640530597283,0.04491889884570142,1.354285714285721,260.98991105560873,257.27108894439135,0.014351155542158786,260.45,255.87,3.5596189990761684,,,0.0705373687461397,0.005647532105833353,2,0,1,0,1,1,0,259.7,260.27,259.40999999999997,259.56,1.354285714285721,263.6228571428572,255.49714285714285,257.44,3,0
BHARTIARTL,2025-12-26,2123.0,2123.0,2101.8,2105.4,1297870,2102.7773157899182,2072.9444418036683,1921.5926883019233,49.34665641813988,8.675560419093017,7.597569939436794,1.077990479656223,32.62142857142856,2139.5076148741714,2054.7323851258284,0.040424596469607374,2164.0,2038.0,0.27395047724610233,,,0.3341359863126545,0.09025943762622357,4,1,1,0,0,1,0,2110.066666666667,2118.333333333334,2097.133333333334,2112.4,32.62142857142856,2210.264285714286,2014.5357142857144,2046.035714285714,2,0
360ONE,2025-12-26,1191.5,1207.1,1172.6,1179.4,223587,1149.405109117575,1129.9019883865549,1083.4639921899154,58.195488721804516,13.774352081121378,9.238169628773374,4.5361824523480045,33.49285714285713,1201.1577499418745,1098.2322500581258,0.08952417805048178,1217.0,1092.6,0.3146909174794016,,,-0.0561024409763905,0.14895275207014125,4,1,1,0,0,1,0,1186.3666666666666,1200.1333333333332,1165.6333333333332,1189.85,33.49285714285713,1290.3285714285712,1089.3714285714286,1096.457142857143,2,1
TATACONSUM,2025-12-26,1173.6,1179.8,1172.0,1175.7,322741,1168.6712401452096,1158.700360249144,1115.270287050962,55.98130841121492,5.132093271576878,2.7866606244056635,2.345432647171214,18.442857142857147,1193.8990312391463,1131.6609687608536,0.05352522616341243,1189.5,1131.9,0.4389521569608839,,,0.3218280960143909,0.03122533111130621,4,1,1,0,0,1,0,1175.8333333333333,1179.6666666666665,1171.8666666666666,1175.9,18.442857142857147,1231.2285714285715,1120.5714285714287,1121.392857142857,2,0
RELIANCE,2025-12-26,1554.7,1561.0,1554.3,1559.2,2311495,1549.2282915570615,1515.9251731847417,1435.5287634493016,58.56353591160226,13.018166061809097,14.389410449836504,-1.3712443880274066,17.007142857142885,1577.4506056453758,1524.7093943546245,0.034002895589364424,1581.3,1517.6,0.2688086183799636,,,0.29361984568157307,0.12740419378163415,4,1,1,0,0,1,0,1558.1666666666667,1562.0333333333335,1555.3333333333335,1557.65,17.007142857142885,1608.6714285714288,1506.6285714285714,1515.0571428571427,2,0
TORNTPHARM,2025-12-26,3833.0,3846.1,3802.5,3816.6,38231,3781.424145200608,3724.7259693953483,3512.1116942834947,57.3691790686509,27.43779929860375,26.310617967463017,1.1271813311407328,55.02142857142859,3845.3670789387575,3710.8429210612435,0.03560625177900401,3846.1,3688.8,0.2079420584039192,,,0.11044515565900492,0.05588446854423723,5,1,1,0,0,1,0,3821.7333333333336,3840.966666666667,3797.3666666666672,3824.3,55.02142857142859,3989.364285714286,3659.2357142857145,3659.2357142857145,2,0
SHARIABEES,2025-12-26,523.34,523.34,517.19,519.06,7950,514.373942756882,509.2942824602569,507.20422346259636,53.029356652092325,3.1748581016368007,2.650664928506175,0.5241931731306257,6.46928571428571,522.1848032499709,506.417196750029,0.030658323627490228,523.34,505.38,0.8685534488127039,,,-0.02069694168254632,0.04621772519299361,3,1,1,0,0,1,0,519.8633333333333,522.5366666666666,516.3866666666667,520.2650000000001,6.46928571428571,539.6728571428572,500.85714285714295,500.85714285714295,2,0
SBINEQWETF,2025-12-26,33.85,33.85,33.4,33.46,29577,33.31921764047117,33.13866946103224,32.066583848184145,49.77375565610865,0.05804521545308461,0.02579853012184599,0.03224668533123862,0.5157142857142877,33.74415786679842,32.851842133201586,0.026797877758328766,34.07,32.55,1.0579669450162663,,,0.13886997957794422,0.030807147258163914,3,1,1,0,0,1,0,33.57,33.74,33.29,33.625,0.5157142857142877,35.172142857142866,32.077857142857134,32.32142857142858,2,0
SBIETFIT,2025-12-26,424.9,427.47,422.73,423.76,4298,419.40255495041447,408.92641190031514,404.3189430271923,48.99110436103276,6.253691812546208,6.323805758361131,-0.07011394581492336,7.716428571428573,432.397905823891,407.4230941761089,0.059476511417985684,437.43,407.08,0.46766190807799446,,,-0.09870897760384545,0.11170575581090292,2,0,1,0,0,1,0,424.65333333333336,426.5766666666667,421.8366666666667,425.1,7.716428571428573,448.24928571428575,401.9507142857143,406.2285714285714,2,0
