Stock,Close,EMA20,EMA50,EMA200,RSI14,ATR14,RVOL20,RS_ROC20,CompositeScore,TrendContinuation_Flag,VCP_Flag,SEPA_Flag,Breakout_Flag,MeanReversion_Flag
360ONE,1179.4,1149.405109117575,1129.901988389088,1083.4713554597802,58.195488721804516,33.49285714285713,0.3146909174794016,,2,1,0,1,0,0
3MINDIA,34575.0,34866.4956186145,33926.99157574503,31776.720831983173,54.891304347826086,796.0714285714286,0.537491490258372,,1,1,0,0,0,0
AARTIIND,376.4,372.5288817571482,377.20990401068815,412.876326070018,58.5194639438417,10.917857142857141,0.2742459131072649,,0,0,0,0,0,0
AAVAS,1480.3,1515.9915679307783,1568.890490310955,1680.573939407503,47.15061058344641,41.321428571428605,0.396940355469631,,0,0,0,0,0,0
ABB,5183.0,5177.0693546584835,5175.41392261778,5497.507038553876,50.698016164584864,93.28571428571429,0.40430506573664726,,0,0,0,0,0,0
ABBOTINDIA,28905.0,28511.346876788735,29148.334983254477,30143.38942655879,49.350649350649356,489.64285714285717,0.508102911253202,,0,0,0,0,0,0
ABCAPITAL,348.15,348.0256458195475,335.45229518345775,281.28555720349857,40.275229357798125,8.474999999999998,0.8050814646919411,,1,0,0,1,0,0
ABFRL,76.78,76.95571227462975,78.92327749272187,122.93376459360029,48.33597464342315,2.507857142857144,1.7485252764797072,,0,0,0,0,0,0
ABREL,1681.6,1717.1863850136417,1738.7058217615247,1904.3143792799724,41.21708003068269,48.69999999999998,0.18327664868967897,,0,0,0,0,0,0
ABSLBANETF,60.23,60.34366831731839,59.70964363544079,56.97465252941306,35.68627450980391,0.7678571428571423,0.5158609553678142,,0,0,0,0,0,0
ACC,1735.3,1782.0882600914879,1813.7329092881419,1899.3191441944807,26.99341623994141,25.657142857142862,1.6662522834603992,,0,0,0,0,0,0
ACE,951.2,960.5133931762259,995.3717839130593,1103.81703257464,48.021486123545216,28.307142857142853,0.44630618237766745,,0,0,0,0,0,0
ACI,528.7,519.9148652511096,559.473165519436,614.1000295834508,63.05797845048745,18.421428571428574,1.9063390464348458,,1,0,0,0,1,0
ADANIENSOL,1015.3,991.902975437705,970.3243167157864,907.6930940344757,60.12218828103302,24.10357142857145,0.834749374287584,,2,1,0,1,0,0
ADANIENT,2229.9,2265.6267520249676,2333.7893714865822,2442.0145246751536,44.416483170808434,46.7928571428572,0.487838961630854,,0,0,0,0,0,0
ADANIGREEN,1018.1,1023.3225623634537,1030.0256728265474,1058.6940004313894,50.13210039630118,23.599999999999984,0.44673922845188885,,0,0,0,0,0,0
ADANIPORTS,1487.1,1496.7101183383509,1478.3663498821675,1397.2135480627373,42.71717831482687,22.071428571428587,0.6013004990909389,,0,0,0,0,0,0
AEGISLOG,720.8,743.1257889679531,756.9139417287901,760.1767713228103,41.09589041095887,17.132142857142867,0.5310334731129138,,0,0,0,0,0,0
AETHER,846.65,851.4628790483962,829.2581463274469,804.8487843896705,49.81972428419936,30.22499999999999,0.5928585370848573,,1,1,0,0,0,0
AFFLE,1781.9,1713.3331167083427,1756.4440013853673,1778.3911589590498,74.85828609536512,54.3357142857143,0.4827889376729999,,0,0,0,0,0,0
AIAENG,3884.3,3806.5134179533025,3651.476248074906,3454.855456296497,55.399617242322066,134.98571428571435,0.6343797231403222,,2,1,0,1,0,0
AJANTPHARM,2681.6,2631.6227099627995,2582.374872734279,2595.672678438823,54.88327775131013,66.60714285714292,0.41883659823403774,,0,0,0,0,0,0
ALIVUS,907.2,899.9795075167187,908.6503054052321,961.2454474945199,57.32126131751483,24.521428571428576,0.2154927790134902,,0,0,0,0,0,0
ALKEM,5535.0,5609.780058352871,5588.898834137372,5369.699615623262,38.78691141260974,100.0,0.6343147418456403,,0,0,0,0,0,0
ALKYLAMINE,1581.2,1629.686995300169,1724.6975131856443,1892.4471217353773,36.93023255813951,38.02857142857139,1.2805295801743186,,0,0,0,0,0,0
ALLCARGO,10.69,12.53177308001578,18.07703221228857,30.287371729582794,10.069444444444372,0.5942857142857142,0.6840200875233765,,0,0,0,0,0,0
ALOKINDS,16.28,16.33429369255993,16.788354824806863,18.286637100253593,51.28205128205128,0.46642857142857125,0.6195810150881191,,0,0,0,0,0,0
ALPHAETF,24.97,25.21155593098796,25.28632235770481,25.01490889054115,37.90613718411548,0.5049999999999992,0.8809958389136823,,0,0,0,0,0,0
ALPL30IETF,27.92,27.878789253774823,27.775472853058776,27.518876466067123,44.52554744525552,0.26999999999999985,0.07219201800955058,,1,0,0,1,0,0
AMBER,6652.0,6783.238238005857,7133.964067893289,7065.729119495448,53.72451102788181,174.35714285714286,0.34257721879120245,,0,0,0,0,0,0
AMBUJACEM,554.65,544.8859454474201,551.4474981732869,560.9879867295218,64.36940041350798,10.714285714285698,0.9819933585415398,,0,0,0,0,0,0
ANANDRATHI,3033.5,2977.485338095912,2962.2605583856775,2607.2480342619306,70.86153846153842,65.84285714285723,0.8979578791894524,,1,0,0,1,0,0
ANGELONE,2495.8,2570.430111157994,2568.852842090252,2567.998420141665,37.5277825269277,74.42857142857149,0.6779050380902369,,0,0,0,0,0,0
