Stock,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,Histogram,ATR14,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_20_High,Donchian_20_Low,RVOL20,RS_vs_NIFTY,RS_ROC20,TrendContinuation_Flag,Breakout_Flag,VCP_Flag,SEPA_Flag,MeanReversion_Flag,Pivot,Pivot_R1,Pivot_S1,HL2,ATR_Super,Upper_Band,Lower_Band,Supertrend,CompositeScore,RS_Leader_Flag
BHARTIARTL,2025-12-19,2113.9,2115.0,2082.0,2097.7,10127415,2092.654792029981,2064.037189821616,1912.9641964664827,51.80505415162453,3.357056992339494,6.005121464539584,-2.6480644722000894,30.15000000000006,2151.8350649652807,2048.0549350347187,0.04942040383465377,2170.7,2038.0,1.4170609809239394,,,1,0,0,1,0,2098.233333333333,2114.4666666666662,2081.4666666666662,2098.5,30.15000000000006,2188.9500000000003,2008.0499999999997,2046.035714285714,2,1
BAJAJ-AUTO,2025-12-19,8830.5,9011.0,8827.0,9002.0,215196,8980.554254748016,8949.41221703326,8777.178903062837,45.17453798767966,-5.7444482775808865,10.580052601419585,-16.32450087900047,140.17857142857142,9173.461733979648,8867.938266020354,0.03386915294370659,9254.5,8735.0,0.602546281356544,,,1,0,0,1,0,8946.666666666666,9066.333333333332,8882.333333333332,8919.0,140.17857142857142,9339.535714285714,8498.464285714286,8720.92857142857,2,1
EICHERMOT,2025-12-19,7075.0,7242.0,7075.0,7217.0,423435,7119.89623899941,6986.2395811136375,6214.08102027692,55.75833857772184,47.2702461064373,55.425689751959546,-8.155443645522247,120.35714285714286,7296.119746234628,7001.380253765372,0.041229514596154045,7328.5,6956.0,0.8449030656631362,,,1,0,0,1,0,7178.0,7281.0,7114.0,7158.5,120.35714285714286,7519.571428571428,6797.428571428572,6874.535714285714,2,0
UPL,2025-12-19,747.4,753.8,740.25,751.55,6064263,747.6697583699282,734.0610155167358,683.2328487101071,50.3388189738625,3.6283422499507196,5.2641998007376944,-1.6358575507869748,16.007142857142842,765.5852186322309,733.9047813677691,0.04225494970218103,769.55,729.6,2.5185663010300856,,,1,0,0,1,0,748.5333333333333,756.8166666666666,743.2666666666667,747.025,16.007142857142842,795.0464285714285,699.0035714285715,719.4714285714285,2,0
KOTAKBANK,2025-12-19,2168.5,2177.5,2156.3,2159.5,2300934,2147.579875066586,2123.7715554520173,2059.848342407381,53.9377895433488,16.27399351675922,14.288885141541178,1.9851083752180418,31.100000000000005,2205.197574667267,2077.6624253327327,0.059556067363646846,2205.0,2066.7,0.7909886720710285,,,1,0,0,1,0,2164.4333333333334,2172.5666666666666,2151.366666666667,2166.9,31.100000000000005,2260.2000000000003,2073.6,2113.678571428571,2,0
LT,2025-12-19,4040.1,4091.5,4040.1,4073.5,1327935,4030.3886189545824,3954.005956829945,3723.1517726591887,50.03775484520516,26.720345319252374,28.703145767578004,-1.98280044832563,59.77857142857147,4110.079796001596,3962.220203998404,0.03663381985386869,4140.0,3949.1,0.9315811034536027,,,1,0,0,1,0,4068.366666666667,4096.633333333333,4045.2333333333336,4065.8,59.77857142857147,4245.135714285714,3886.464285714286,3932.9357142857143,2,0
MARUTI,2025-12-19,16329.0,16475.0,16329.0,16414.0,360190,16199.138680610922,15935.237591116591,14312.999205475551,58.771444382955174,127.92308192964992,105.62623078652368,22.296851143126247,220.14285714285714,16563.90739188526,15776.692608114738,0.0486827568919885,16536.0,15842.0,1.183538694936568,,,1,0,0,1,0,16406.0,16483.0,16337.0,16402.0,220.14285714285714,17062.428571428572,15741.57142857143,15790.07142857143,2,0
HDFCLIFE,2025-12-19,753.1,773.85,753.1,766.45,3098157,764.7285135066164,762.7613050253509,742.1629038377833,49.82973893303067,0.6998130921319898,1.8457177637587039,-1.145904671626714,15.017857142857135,783.8883065255285,749.0466934744715,0.04545739128020045,788.5,745.2,1.389247175376057,,,1,0,0,1,0,764.4666666666667,775.8333333333334,755.0833333333334,763.475,15.017857142857135,808.5285714285715,718.4214285714286,766.3071428571427,2,0
TITAN,2025-12-19,3919.0,3961.9,3913.0,3930.1,730780,3868.587175042673,3792.8250212039875,3593.25719885668,54.439959636730556,30.888705330075027,28.248100682573888,2.6406046475011387,61.95714285714286,3959.64570661466,3779.35429338534,0.04659294824378341,3961.9,3751.0,1.0453416474694794,,,1,0,0,1,0,3935.0,3957.0,3908.1,3937.45,61.95714285714286,4123.321428571428,3751.578571428571,3751.578571428571,2,0
TATACONSUM,2025-12-19,1171.5,1186.3,1169.6,1184.0,598033,1163.2826394416904,1155.0484498131937,1112.2917167050748,57.66312594840667,2.6812531655355087,-0.11535502818248056,2.796608193717989,20.72857142857145,1195.1852766082663,1131.1147233917338,0.055083654916848655,1194.7,1131.9,0.5911946806882135,,,1,0,0,1,0,1179.9666666666665,1190.333333333333,1173.633333333333,1177.9499999999998,20.72857142857145,1240.1357142857141,1115.7642857142855,1116.2285714285715,2,0
M&M,2025-12-19,3571.0,3615.0,3560.0,3603.6,1647819,3647.6930674464775,3617.9861460378133,3322.0549641219086,34.04993065187237,-12.250016128221432,1.5676602366688974,-13.81767636489033,62.77857142857143,3759.1260688124025,3571.433931187598,0.051208130790773056,3795.0,3540.1,0.8081142008445672,,,0,0,0,0,1,3592.866666666667,3625.7333333333336,3570.7333333333336,3587.5,62.77857142857143,3775.8357142857144,3399.1642857142856,3584.942857142857,1,0
BRITANNIA,2025-12-19,6020.0,6116.0,5992.5,6103.0,179450,5950.594417605565,5917.435813160324,5704.277657779198,67.22189173111244,45.19412407346954,16.55930504946582,28.63481902400372,115.53571428571429,6112.063653013498,5713.186346986502,0.06746196588266565,6145.0,5780.0,0.7127886679908237,,,0,0,0,1,0,6070.5,6148.5,6025.0,6054.25,115.53571428571429,6400.857142857143,5707.642857142857,5823.892857142857,1,1
HCLTECH,2025-12-19,1675.0,1681.0,1632.5,1642.4,3487150,1645.2331025271772,1598.8474649744871,1583.7607238897256,49.86025712688653,21.193548564622233,27.39833796132013,-6.2047893966978975,28.08571428571429,1699.346599871193,1599.7934001288074,0.06035100040761256,1695.4,1592.6,1.4545841790929477,,,1,0,0,0,0,1651.9666666666665,1671.433333333333,1622.933333333333,1656.75,28.08571428571429,1741.0071428571428,1572.4928571428572,1598.7857142857142,1,0
WIPRO,2025-12-19,267.0,267.0,263.3,264.45,12750745,256.76599406253166,251.69058493419107,254.96405418028914,75.8860065765437,4.497757761130742,3.9917529464051813,0.5060048147255611,3.800714285714282,267.79764918613034,244.32135081386966,0.09168298138620393,267.0,244.0,1.5273127240852349,,,0,0,1,0,0,264.9166666666667,266.53333333333336,262.83333333333337,265.15,3.800714285714282,276.5521428571428,253.74785714285713,253.74785714285713,1,0
SBIN,2025-12-19,979.95,982.0,977.05,980.3,5376584,966.0522921953284,942.2526706155895,862.3765358355801,53.60721442885768,6.773332637799058,7.170801239072587,-0.3974686012735287,13.439285714285713,988.9909840908073,947.5090159091923,0.04284220829498065,999.0,944.45,0.561806929269503,,,0,0,0,1,0,979.7833333333333,982.5166666666667,977.5666666666666,979.525,13.439285714285713,1019.8428571428572,939.2071428571428,952.475,1,0
NESTLEIND,2025-12-19,1230.8,1246.2,1229.7,1244.4,754446,1242.1164253313314,1240.4248138897317,1206.3190148620668,43.15878378378387,-5.736808974835867,-5.933454680491911,0.196645705656044,19.150000000000027,1283.1223778672313,1204.597622132769,0.06312989864973739,1285.8,1205.0,0.857434030531837,,,0,0,0,1,0,1240.1000000000001,1250.5000000000002,1234.0000000000002,1237.95,19.150000000000027,1295.4,1180.5,1231.9285714285716,1,0
RELIANCE,2025-12-19,1554.4,1574.2,1551.0,1565.1,13937275,1541.4043689835776,1507.309881927723,1430.0668558326238,49.567474048442904,12.81531951724719,15.350432835266796,-2.535113318019606,21.221428571428582,1573.1736305076224,1523.5263694923774,0.032064624287302626,1581.3,1517.6,1.3904013818144236,,,0,0,0,1,0,1563.4333333333332,1575.8666666666663,1552.6666666666663,1562.6,21.221428571428582,1626.2642857142857,1498.935714285714,1509.4714285714288,1,0
HEROMOTOCO,2025-12-19,5725.0,5797.5,5725.0,5781.0,769295,5942.83753209738,5778.312050099145,5092.113215751474,22.20421393841167,10.540964875384816,76.6529512448063,-66.11198636942149,135.10714285714286,6426.303581034374,5703.596418965626,0.11916127289899299,6388.5,5513.0,1.0524851904808095,,,0,0,0,0,1,5767.833333333333,5810.666666666666,5738.166666666666,5761.25,135.10714285714286,6166.571428571428,5355.928571428572,6014.071428571428,1,0
INFY,2025-12-19,1650.0,1654.9,1629.8,1638.7,13149023,1587.5164939830022,1552.046049314804,1570.7654328768951,71.80385288966727,25.043744492093538,23.350094178458814,1.6936503136347234,26.742857142857183,1642.7556037562745,1531.0943962437254,0.07036325441501586,1654.9,1525.9,1.662986997662514,,,0,1,0,0,0,1641.1333333333332,1652.4666666666665,1627.3666666666663,1642.35,26.742857142857183,1722.5785714285714,1562.1214285714284,1562.1214285714284,1,0
SUNPHARMA,2025-12-19,1747.0,1760.0,1741.2,1744.9,2768986,1778.0744234583256,1746.0355740814603,1702.0348825236044,33.799896319336455,6.462489844305082,16.57193959876005,-10.109449754454968,27.271428571428583,1836.1807215781014,1750.0292784218987,0.04804595556657459,1849.0,1736.0,1.30861838973055,,,0,0,0,0,1,1748.7,1756.2,1737.4,1750.6,27.271428571428583,1832.4142857142856,1668.7857142857142,1750.8214285714284,1,0
SBILIFE,2025-12-19,2014.5,2035.5,2012.4,2028.4,751874,2008.5064846450468,1965.1971664977978,1818.0795977257346,66.13636363636368,16.219968005116243,18.552178580625288,-2.3322105755090448,34.14285714285711,2052.765396113159,1966.8346038868406,0.042755892241177505,2086.6,1951.2,0.9259089020186657,,,0,0,0,1,0,2025.4333333333334,2038.4666666666667,2015.3666666666668,2023.95,34.14285714285711,2126.3785714285714,1921.5214285714287,1950.9142857142856,1,0
NIFTY,2025-12-19,25911.5,25993.35,25880.45,25966.4,0,25934.192610698898,25774.924156349596,25007.3002044494,42.974124911903964,13.879998738171707,45.357676857532084,-31.477678119360377,193.3107142857147,26283.3960713224,25703.988928677594,0.022290297642199405,26325.8,25693.25,,,,0,0,0,1,0,25946.733333333337,26013.016666666674,25900.116666666676,25936.9,193.3107142857147,26516.832142857147,25356.967857142856,25641.85357142857,1,0
COALINDIA,2025-12-19,385.0,387.35,383.5,385.6,3611941,381.9661271490336,382.6863233077776,390.7541522505436,61.0389610389612,0.8285579693819614,-0.13712107507291477,0.9656790444548762,4.982142857142845,388.29466296656847,371.19533703343154,0.04502844259473311,387.35,369.6,0.9624755125322447,,,0,0,0,0,0,385.48333333333335,387.4666666666667,383.6166666666667,385.425,4.982142857142845,400.37142857142857,370.47857142857146,385.84642857142853,0,0
GRASIM,2025-12-19,2800.0,2831.1,2790.1,2812.5,546550,2781.0341246346825,2783.7059549770474,2727.879744667236,71.18200836820085,9.455300439842176,-0.5515908687955948,10.00689130863777,39.692857142857164,2846.05273512902,2672.08726487098,0.0630522133392919,2849.9,2679.4,1.1455458377627912,,,0,0,0,0,0,2811.2333333333336,2832.3666666666672,2791.3666666666672,2810.6,39.692857142857164,2929.6785714285716,2691.5214285714283,2810.807142857143,0,0
ADANIPORTS,2025-12-19,1495.0,1503.7,1490.7,1496.4,1276175,1497.485632588461,1475.3746232060184,1393.2103801578373,39.49476278496615,5.925475901464779,9.484440017614112,-3.5589641161493333,23.69285714285716,1529.5411733612339,1476.0488266387658,0.035595238686892114,1549.0,1460.9,0.7595267059630144,,,0,0,0,0,0,1496.9333333333334,1503.1666666666667,1490.1666666666667,1497.2,23.69285714285716,1568.2785714285715,1426.1214285714286,1459.1357142857144,0,1
