EntryDate,EntryPrice,ExitDate,ExitPrice,R,Qty,Pnl
2023-12-26,3863.5,2024-01-23,3615.35,-1.9556418700216764,7,-1737.0500000000006
2024-05-22,4058.55,2024-06-20,4504.05,2.708618331053353,6,2673.0
2024-07-26,4790.6,2024-08-26,4926.25,0.7569905331340294,5,678.2499999999982
2024-08-27,4902.5,2024-09-24,5375.8,2.5513105585876996,5,2366.500000000001
2024-11-25,6138.45,2024-12-23,5849.45,-1.1515009213999572,3,-867.0
2024-12-31,6098.8,2025-01-28,5410.2,-3.5539334955393387,5,-3443.000000000002
2025-02-20,5978.3,2025-03-24,5910.7,-0.2153172368683004,3,-202.8000000000011
2025-05-14,6215.5,2025-06-11,6719.0,1.6864645014653978,3,1510.5
2025-07-01,6856.5,2025-07-29,6676.5,-0.916030534351145,5,-900.0
2024-06-14,4935.1,2024-07-15,4881.35,-0.26478065429850717,4,-215.0
2024-11-18,4875.65,2024-12-17,4742.65,-0.6351642916229616,4,-532.0
2025-04-15,5529.0,2025-05-15,5466.0,-0.2756874604402563,4,-252.0
2025-11-20,7125.5,2025-12-18,7106.5,-0.08276935044729672,4,-76.0
2025-12-22,7308.0,2023-05-02,1732.65,-30.582779900088138,5,-27876.75
2024-09-12,2757.1,2024-10-11,2725.55,-0.39592156862744754,12,-378.5999999999967
2024-09-27,2783.15,2024-10-28,2646.95,-1.4002313157459936,10,-1362.0000000000027
2025-05-16,2804.2,2025-06-13,2663.8,-1.557774607703278,11,-1544.399999999996
2025-08-05,2797.2,2025-09-04,2809.8,0.169306075439106,13,163.80000000000473
2025-09-16,2843.0,2025-10-15,2816.8,-0.417221179548423,15,-392.99999999999727
2024-08-19,1678.5,2024-09-16,1811.85,2.4565281752689234,18,2400.2999999999984
2024-11-11,1867.3,2024-12-11,1930.9,1.0036351339927307,15,954.000000000002
2024-12-03,1890.75,2025-01-01,1911.95,0.35890924481528635,16,339.2000000000007
2025-01-10,1995.1,2025-02-06,1723.5,-3.7891380169406994,13,-3530.799999999999
2024-11-25,892.8,2024-12-23,900.5,0.26815920398010157,34,261.80000000000155
2025-04-15,932.4,2025-05-15,966.9,1.0711909514304705,31,1069.5
2025-06-06,989.4,2025-07-04,994.6,0.24636209813874965,47,244.40000000000214
2025-06-25,990.1,2025-07-23,1012.2,1.1197973217517214,50,1105.0000000000011
2025-07-24,1007.1,2025-08-22,982.3,-1.2717948717948753,51,-1264.8000000000034
2025-07-29,1010.8,2025-08-28,957.8,-2.655215602075505,50,-2650.0
2025-11-20,1008.85,2025-12-18,979.7,-1.4414128035320124,49,-1428.349999999999
2025-11-26,1003.9,2023-03-31,499.2,-23.868929989021133,47,-23720.899999999998
2024-08-26,725.65,2024-09-23,727.5,0.06195431168520592,33,61.05000000000075
2024-10-11,723.85,2024-11-08,708.5,-0.6680655941555929,43,-660.050000000001
2025-04-15,704.7,2025-05-15,751.2,1.831610044313151,39,1813.5
2025-05-15,751.2,2025-06-12,754.5,0.1128411797032405,34,112.19999999999845
2025-06-25,785.1,2025-07-23,762.5,-0.998737373737372,44,-994.400000000001
2025-09-18,784.6,2025-10-17,745.95,-1.4897102347030062,38,-1468.6999999999991
2025-12-11,775.2,2023-04-20,2348.55,69.91002142347085,44,69227.40000000001
2023-07-05,3058.2,2023-08-02,2893.45,-1.4308534561640254,8,-1318.0
2023-09-29,2957.25,2023-10-31,2988.35,0.3120979158826588,10,310.9999999999991
2023-10-11,3000.85,2023-11-09,3073.9,0.7159884484116611,9,657.4500000000016
2023-11-16,3180.05,2023-12-15,3796.55,6.022923535876917,9,5548.5
2024-03-11,4671.7,2024-04-10,4494.9,-1.1771531840015237,6,-1060.800000000001
2024-03-28,4722.3,2024-04-30,4543.05,-0.8951789822890464,4,-717.0
2024-06-04,5310.7,2024-07-03,5579.75,1.2437202314619933,4,1076.2000000000007
2025-10-07,5615.0,2025-11-06,5326.0,-1.6239213325306077,5,-1445.0
2025-11-17,5798.5,2025-12-15,5959.5,0.8012085666044616,4,644.0
2025-07-23,695.4,2025-08-21,707.3,0.6690763052208847,56,666.3999999999987
2025-08-18,714.15,2025-09-16,755.95,1.6686626746507043,39,1630.2000000000025
2025-10-03,780.35,2025-11-03,847.2,2.8347720733000097,42,2807.7000000000007
2025-10-21,784.95,2025-11-20,799.8,0.6642703091301164,44,653.399999999996
2025-12-02,806.85,2023-04-10,2532.15,78.37819420783671,45,77638.50000000001
2023-07-06,2757.1,2023-08-03,2551.3,-3.648243114909781,17,-3498.5999999999954
2023-12-19,2560.7,2024-01-17,2562.9,0.04108309990663462,18,39.60000000000491
2024-07-05,2547.0,2024-08-05,2715.9,2.6565554432086396,15,2533.5000000000014
2024-09-05,2838.45,2024-10-04,2848.75,0.1565434511208848,15,154.50000000000273
2025-08-01,2553.7,2025-09-02,2677.0,1.544697986577186,12,1479.6000000000022
2025-08-19,2604.8,2025-09-17,2569.7,-0.3476599808978065,9,-315.9000000000033
2024-10-28,1292.85,2024-11-27,1300.7,0.18941744226129287,24,188.40000000000327
2024-11-25,1300.95,2024-12-23,1296.8,-0.1052107383765695,25,-103.75000000000227
2025-04-17,1406.7,2025-05-19,1449.0,0.9629268292682938,22,930.599999999999
2025-06-27,1462.2,2025-07-25,1477.1,0.5271670457417184,35,521.4999999999952
2025-07-04,1442.8,2025-08-01,1471.6,0.9538679914833225,33,950.3999999999985
2025-07-21,1465.8,2025-08-19,1436.3,-1.0484894643310458,35,-1032.5
2023-07-19,1419.55,2023-08-17,1374.3,-0.947148090005231,20,-905.0
2023-09-04,1421.8,2023-10-04,1401.3,-0.5453422640254614,26,-533.0
2023-10-13,1463.7,2023-11-12,1502.1,0.8501957063219027,22,844.799999999997
