Date,Equity
2024-12-31,100000.0
2025-01-01,100000.0
2025-01-02,100000.0
2025-01-03,100000.0
2025-01-06,100000.0
2025-01-07,100000.0
2025-01-08,100000.0
2025-01-09,100000.0
2025-01-10,100000.0
2025-01-13,100000.0
2025-01-14,100000.0
2025-01-15,100000.0
2025-01-16,100000.0
2025-01-17,100000.0
2025-01-20,100000.0
2025-01-21,100000.0
2025-01-22,100000.0
2025-01-23,100000.0
2025-01-24,100000.0
2025-01-27,100000.0
2025-01-28,100000.0
2025-01-29,100000.0
2025-01-30,100000.0
2025-01-31,100000.0
2025-02-01,100000.0
2025-02-03,100000.0
2025-02-04,100000.0
2025-02-05,100000.0
2025-02-06,100000.0
2025-02-07,100000.0
2025-02-10,100000.0
2025-02-11,100000.0
2025-02-12,100000.0
2025-02-13,100000.0
2025-02-14,100000.0
2025-02-17,100000.0
2025-02-18,100000.0
2025-02-19,100000.0
2025-02-20,100000.0
2025-02-21,100000.0
2025-02-24,100000.0
2025-02-25,100000.0
2025-02-27,100000.0
2025-02-28,100000.0
2025-03-03,100000.0
2025-03-04,100000.0
2025-03-05,100000.0
2025-03-06,100000.0
2025-03-07,100000.0
2025-03-10,100000.0
2025-03-11,100000.0
2025-03-12,100000.0
2025-03-13,100000.0
2025-03-17,100000.0
2025-03-18,100000.0
2025-03-19,100000.0
2025-03-20,100000.0
2025-03-21,100000.0
2025-03-24,100000.0
2025-03-25,100000.0
2025-03-26,100000.0
2025-03-27,100000.0
2025-03-28,100000.0
2025-04-01,100000.0
2025-04-02,100000.0
2025-04-03,100000.0
2025-04-04,100000.0
2025-04-07,100000.0
2025-04-08,100000.0
2025-04-09,100000.0
2025-04-11,100000.0
2025-04-15,100000.0
2025-04-16,100000.0
2025-04-17,100000.0
2025-04-21,100684.97
2025-04-22,100492.33
2025-04-23,100278.69
2025-04-24,100090.37000000001
2025-04-25,100167.89000000001
2025-04-28,100602.13
2025-04-29,100597.41
2025-04-30,100602.1
2025-05-02,100980.58
2025-05-05,101318.68
2025-05-06,101808.73999999999
2025-05-07,102453.7
2025-05-08,103042.96
2025-05-09,103761.92000000001
2025-05-12,103761.92000000001
2025-05-13,104514.32000000002
2025-05-14,105455.54000000002
2025-05-15,106397.94000000002
2025-05-16,106719.58000000002
2025-05-19,106796.38000000002
2025-05-20,106926.38000000002
2025-05-21,107294.63000000002
2025-05-22,107693.03000000001
2025-05-23,108002.78000000001
2025-05-26,108526.26000000001
2025-05-27,108801.8
2025-05-28,109448.08
2025-05-29,110203.3
2025-05-30,111162.61
2025-06-02,112443.61
2025-06-03,113594.76
2025-06-04,115007.59999999999
2025-06-05,116075.2
2025-06-06,116901.12
2025-06-09,117252.12
2025-06-10,117437.48
2025-06-11,117805.28
2025-06-12,118291.68
2025-06-13,118885.68
2025-06-16,118885.68
2025-06-17,119472.04
2025-06-18,119472.04
2025-06-19,120326.95
2025-06-20,120326.95
2025-06-23,120520.83
2025-06-24,121193.43000000001
2025-06-25,121561.43000000001
2025-06-26,122009.57
2025-06-27,122081.59000000001
2025-06-30,121668.31000000001
2025-07-01,120950.87000000001
2025-07-02,120306.77
2025-07-03,119863.69
2025-07-04,119413.33
2025-07-07,118706.41
2025-07-08,118018.67
2025-07-09,117152.75
2025-07-10,116260.67
2025-07-11,115496.3
2025-07-14,114601.70000000001
2025-07-15,114031.62000000001
2025-07-16,113082.57
2025-07-17,112046.55
2025-07-18,111329.83
2025-07-21,111329.83
2025-07-22,110917.39
2025-07-23,110346.01
2025-07-24,109610.51999999999
2025-07-25,108545.46999999999
2025-07-28,108545.46999999999
2025-07-29,108545.46999999999
2025-07-30,108545.46999999999
2025-07-31,108545.46999999999
2025-08-01,108545.46999999999
2025-08-04,108545.46999999999
2025-08-05,108545.46999999999
2025-08-06,108545.46999999999
2025-08-07,108545.46999999999
2025-08-08,108545.46999999999
2025-08-11,108545.46999999999
2025-08-12,108545.46999999999
2025-08-13,108545.46999999999
2025-08-14,108545.46999999999
2025-08-18,108545.46999999999
2025-08-19,108545.46999999999
2025-08-20,108545.46999999999
2025-08-21,108545.46999999999
2025-08-22,108545.46999999999
2025-08-25,108545.46999999999
2025-08-26,108545.46999999999
2025-08-28,108545.46999999999
2025-08-29,108545.46999999999
2025-09-01,108545.46999999999
2025-09-02,108545.46999999999
2025-09-03,108545.46999999999
2025-09-04,108545.46999999999
2025-09-05,108545.46999999999
2025-09-08,108545.46999999999
2025-09-09,108545.46999999999
2025-09-10,108545.46999999999
