Date,Symbol,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,MACDSignal,MACDHist,ATR14,BB_MA20,BB_Upper,BB_Lower,BB_BandWidth,DonchianH20,DonchianL20,RVOL20,RS_vs_Index,RS_ROC20,KC_Upper,KC_Lower,Squeeze,AVWAP60,IndexUpRegime,ATRpct,DonchianH55,DonchianL55,BB_inside_KC,RSI_Overbought,RSI_Oversold,RSI_Above50,MACD_Line,MACD_Signal,MACD_Hist,MACD_CrossUp,MACD_AboveZero,MACD_Hist_Rising,RSI14_H4,RSI_Overbought_H4,RSI_Oversold_H4,RSI_Above50_H4,MACD_Line_H4,MACD_Signal_H4,MACD_Hist_H4,MACD_CrossUp_H4,MACD_AboveZero_H4,MACD_Hist_Rising_H4,Trend_OK,Minervini_Trend,BB_bw_p20_60,SEPA_Flag,BB_slope20,HL_5,Volume_Dry_Up,Pivot_Break,VCP_Flag,Donchian_Mid,Pullback_to_Mid,Donchian_Breakout,MR_Flag,BB_Inside_KC,BBKC_Squeeze_Flag,SqueezeBreakout_Flag,AVWAP_Reclaim_Flag,RS_p80_60,RS_Leader_Flag,TS_Momentum,TS_Momentum_Flag,RSIConfirm_D,MACDConfirm_D,MomentumConfirm_D,RSIConfirm_H4,MACDConfirm_H4,RSI_MACD_Confirm_H4,RSI_MACD_Confirm_D,RSI_MACD_Confirm_OK,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,CompositeScore
2025-12-19,HINDUNILVR,2263.7,2284.8,2263.7,2280.0,1237214,2342.160663741201,2410.4587269139656,2396.3783270978633,23.03420052616238,-49.84811430556465,-43.0240093758418,-6.82410492972285,47.84285714285719,2362.85,2527.436441852771,2198.2635581472287,0.13931179876231775,2488.0,2244.7,0.6212755493351706,0.08780577977694251,-6.315486707482432,2404.058163741201,2280.263163741201,0,2446.3974011388423,0,2.0983709273182978,2667.2,2244.7,False,False,True,False,-49.84811429844194,-43.024009365366894,-6.8241049330750485,False,False,True,23.034200526161968,False,True,False,-49.84811430556465,-43.0240093758418,-6.82410492972285,False,False,True,0,0,0.04529035028556306,0,0.00414623540524934,True,True,False,0,2366.35,True,0,0,False,0,0,0,-0.9522522001710807,0,-0.03640935697229686,0,False,False,True,False,False,False,False,False,Oversold,0,0,2024-08-08,,10.32
2025-12-19,KOTAKBANK,2168.5,2177.5,2156.3,2159.5,2300934,2147.579875066585,2123.7708181130242,2036.2937631641262,53.93778954334937,16.27399351681015,14.288885141615927,1.9851083751942245,31.100000000000005,2141.43,2205.1975746648714,2077.6624253351292,0.05955606736140902,2205.0,2066.7,0.7909886720710285,0.08316516729311725,3.4342369958808128,2196.104875066585,2099.054875066585,0,2117.9507613724722,1,1.4401481824496414,2266.0,1986.0,False,False,False,True,16.273993519226224,14.288885145168807,1.9851083740574165,False,True,False,53.9377895433488,False,False,True,16.27399351681015,14.288885141615927,1.9851083751942245,False,True,False,1,0,0.050494381869108665,0,2.8240505836139157e-05,False,True,True,0,2135.85,False,0,0,False,0,0,1,7.783320556173337,0,0.1967635567624484,1,True,False,False,True,False,True,False,False,Neutral,0,0,,,22.07
2025-12-19,HDFCBANK,987.0,988.0,978.7,985.5,25952384,993.6522629033694,991.5196283153957,988.5101913934549,40.25821596244256,-1.7725585950350933,0.5772651913834961,-2.3498237864185896,12.278571428571436,996.7125,1012.8023750354088,980.6226249645912,0.032285889933975534,1017.5,973.3,1.4329093178215244,0.037952892969375804,-1.257452031461348,1014.2735129033695,973.0310129033694,0,987.7660507976997,0,1.2459230267449453,1020.5,946.0,True,False,False,False,-1.7725585980862206,0.5772651868963703,-2.3498237849825907,False,False,True,40.2582159624413,False,False,False,-1.7725585950350933,0.5772651913834961,-2.3498237864185896,False,False,True,0,0,0.031356397021913146,0,4.112613208439725e-05,True,False,False,0,995.4,True,0,0,True,0,0,0,2.16714826793214,0,0.05672313960969322,0,False,False,True,False,False,False,False,False,Neutral,0,0,2025-11-24,,23.2
2025-12-19,LT,4040.1,4091.5,4040.1,4073.5,1327935,4030.388618954581,3954.004245886874,3673.3429557065137,50.037754845205384,26.7203453192692,28.703145767603136,-1.9828004483339363,59.77857142857147,4036.15,4110.079795999913,3962.220204000087,0.036633819853034606,4140.0,3949.1,0.9315811034536027,0.1568758087374453,1.2074834157370429,4120.861118954581,3939.916118954581,0,3910.6146548888587,1,1.4674989917410448,4140.0,3615.0,True,False,False,True,26.720345324817572,28.703145775762614,-1.9828004509450423,False,True,True,50.03775484520516,False,False,True,26.7203453192692,28.703145767603136,-1.9828004483339363,False,True,True,1,0,0.047549866079272175,0,-0.0006946270683589682,True,False,True,0,4044.55,False,0,0,True,0,0,1,5.882872839876137,0,0.05045321505473388,1,True,False,True,True,False,True,False,False,Neutral,0,0,,,23.99
2025-12-19,NESTLEIND,1230.8,1246.2,1229.7,1244.4,754446,1242.1164253313516,1240.44158336954,1624.1759616655172,43.158783783784735,-5.736808974829046,-5.933454680481676,0.19664570565262984,19.150000000000027,1243.8600000000001,1283.1223778481944,1204.5976221518058,0.06312989861912806,1285.8,1205.0,0.857434030531837,0.04792347033088915,-2.8343874443663597,1270.8414253313517,1213.3914253313515,0,1241.604947901888,1,1.5388942462230815,1311.6,1145.0,False,False,False,False,-5.736809030036284,-5.933454761668953,0.1966457316326693,True,False,True,43.15878378378387,False,False,False,-5.736808974829046,-5.933454680481676,0.19664570565262984,True,False,True,0,0,0.02559203771504262,0,0.002104395594228721,True,False,False,0,1245.4,True,0,0,False,0,0,0,7.584504442451099,0,0.1116669644452386,1,False,False,True,False,True,True,False,False,Neutral,0,0,,2024-08-13,14.27
2025-12-19,HEROMOTOCO,5725.0,5797.5,5725.0,5781.0,769295,5942.837532097373,5778.306796923383,4960.82047358322,22.20421393841181,10.540964876036014,76.65295124576588,-66.11198636972986,135.10714285714286,6064.95,6426.303581033949,5703.596418966051,0.11916127289885292,6388.5,5513.0,1.0524851904808095,0.2226338653028529,-3.6901291128696334,6134.350032097373,5751.325032097373,0,5667.509683873892,1,2.3370894803172955,6388.5,5252.5,False,False,True,False,10.540964892636111,76.65295127017559,-66.11198637753948,False,True,True,22.20421393841167,False,True,False,10.540964876036014,76.65295124576588,-66.11198636972986,False,True,True,0,0,0.062300758495612424,0,-0.001638341915678919,True,False,True,0,5950.75,True,0,0,False,0,0,0,7.75682886951453,0,0.2736285525446134,1,False,False,True,False,False,False,False,False,Oversold,0,0,,,17.16
2025-12-19,ITC,400.25,402.65,400.25,401.05,10654835,402.5927393265969,405.0662140905773,452.5919006269989,43.10344827586652,-1.5290182716566392,-1.5467899168300103,0.017771645173371153,3.782142857142848,402.1825,405.3299759495146,399.0350240504854,0.015651978639123355,408.8,398.2,1.1908503610760592,0.015444959640150347,-1.6672796371214882,408.6002393265969,396.58523932659693,1,406.3724776928458,0,0.9430601813097739,426.4,396.2,True,False,False,False,-1.5290182756792774,-1.5467899227456212,0.01777164706634382,True,False,True,43.10344827586206,False,False,False,-1.5290182716566392,-1.5467899168300103,0.017771645173371153,True,False,True,0,0,0.02321142751973989,0,-0.0022625645156289257,True,False,False,0,403.5,True,0,0,True,0,0,0,1.9289983125564047,0,-0.146883641778345,0,False,False,True,False,True,True,False,False,Neutral,0,0,,2024-08-07,19.47
2025-12-19,M&M,3571.0,3615.0,3560.0,3603.6,1647819,3647.69306744648,3617.9875595482945,3369.359595822868,34.04993065187267,-12.250016127807157,1.5676602372784254,-13.817676365085582,62.77857142857143,3665.2799999999997,3759.1260688113,3571.4339311886997,0.05120813079017158,3795.0,3540.1,0.8081142008445672,0.1387793456158728,-3.8937486665244325,3740.5505674464803,3554.83556744648,1,3608.8830949411217,0,1.7421070992499565,3795.0,3395.7,False,False,False,False,-12.25001613276163,1.5676602299918443,-13.817676362753474,False,False,True,34.04993065187237,False,False,False,-12.250016127807157,1.5676602372784254,-13.817676365085582,False,False,True,0,0,0.050740566838988345,0,-0.0021595822811946086,True,False,True,0,3667.55,True,0,0,False,0,0,0,5.470707354510683,0,0.16816052644374935,0,False,False,True,False,False,False,False,False,Neutral,0,0,2025-06-26,2024-08-20,13.41
2025-12-19,HDFCLIFE,753.1,773.85,753.1,766.45,3098157,764.7285135066168,762.7617130243914,754.3439405749608,49.829738933031706,0.699813091999431,1.8457177635636601,-1.1459046715642291,15.017857142857135,766.4675,783.8883065171628,749.0466934828371,0.04545739125837136,788.5,745.2,1.389247175376057,0.029516991188612975,0.32068062827226296,786.9435135066168,742.5135135066167,0,756.900107513443,1,1.9594046764768915,788.5,726.0,True,False,False,False,0.6998130908962139,1.8457177619414329,-1.145904671045219,False,True,True,49.82973893303067,False,False,False,0.699813091999431,1.8457177635636601,-1.1459046715642291,False,True,True,1,0,0.04554559126152154,0,-0.0019223603733365849,True,False,True,0,766.85,True,0,0,True,0,0,1,2.497964874180796,0,0.2071029214898812,1,False,False,True,False,False,False,False,False,Neutral,0,0,2025-06-04,2024-08-07,30.89
2025-12-19,MARUTI,16329.0,16475.0,16329.0,16414.0,360190,16199.138680610911,15935.227415330413,14039.075561057145,58.77144438295522,127.92308193043027,105.62623078767251,22.29685114275776,220.14285714285714,16170.3,16563.907391885827,15776.692608114172,0.048682756892058573,16536.0,15842.0,1.183538694936568,0.6321245917801466,2.735181823871824,16544.588680610912,15853.68868061091,1,16049.366833985821,1,1.3411895768420687,16660.0,15260.0,False,False,False,True,127.9230819627719,105.62623083523421,22.296851127537693,False,True,False,58.771444382955174,False,False,True,127.92308193043027,105.62623078767251,22.29685114275776,False,True,False,1,0,0.04541788378060264,0,-0.0014176471355373033,True,False,True,0,16189.0,False,0,0,False,0,0,1,5.617652781998711,0,0.45552895273565674,1,True,False,False,True,False,True,False,False,Neutral,0,0,,,27.99
