Date,Symbol,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,MACDSignal,MACDHist,ATR14,BB_MA20,BB_Upper,BB_Lower,BB_BandWidth,DonchianH20,DonchianL20,RVOL20,RS_vs_Index,RS_ROC20,KC_Upper,KC_Lower,Squeeze,AVWAP60,IndexUpRegime,Trend_OK,Minervini_Trend,BB_bw_p20_60,SEPA_Flag,BB_slope20,HL_5,Volume_Dry_Up,Pivot_Break,VCP_Flag,Donchian_Mid,Pullback_to_Mid,Donchian_Breakout,MR_Flag,BB_Inside_KC,BBKC_Squeeze_Flag,SqueezeBreakout_Flag,AVWAP_Reclaim_Flag,RS_p80_60,RS_Leader_Flag,TS_Momentum,TS_Momentum_Flag,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,CompositeScore
2025-12-19,HINDUNILVR,2263.7,2284.8,2263.7,2280.0,1237214,2342.1606637412037,2410.460946916633,2457.645011793265,23.034200526161968,-49.84811430558193,-43.02400937586714,-6.824104929714792,47.84285714285719,2362.85,2527.436441853833,2198.263558146167,0.1393117987632165,2488.0,2244.7,0.6212755493351706,0.0878057797769425,-5.948381555150428,2434.614285714286,2291.085714285714,0,2457.645011793265,1,0,0,0.04529035028794602,0,0.004146235405190861,True,True,False,0,2366.35,True,0,0,False,0,0,0,-3.2194847300448237,0,-0.03640935697229686,0,Oversold (≤30),0,0,2025-08-12,2025-12-04,26.43
2025-12-19,KOTAKBANK,2168.5,2177.5,2156.3,2159.5,2300934,2147.579875066586,2123.7715464815724,2059.4706042158955,53.9377895433488,16.273993516839255,14.288885141658874,1.9851083751803813,31.100000000000005,2141.4300000000003,2205.197574667259,2077.662425332742,0.0595560673636387,2205.0,2066.7,0.7909886720710285,0.0831651672931172,3.83954668895845,2188.0800000000004,2094.78,0,2059.4706042158955,1,1,0,0.05049438187184156,0,2.8240505830620656e-05,False,True,True,0,2135.85,False,0,0,False,0,0,1,5.892022136662237,0,0.1967635567624484,1,Neutral (30–70),0,0,2025-01-21,2024-11-14,51.4
2025-12-19,HDFCBANK,987.0,988.0,978.7,985.5,25952384,993.6522629033682,991.5187446942708,962.2427336580968,40.2582159624413,-1.772558595089322,0.5772651913035731,-2.349823786392895,12.278571428571436,996.7125,1012.8023750445266,980.6226249554734,0.0322858899522712,1017.5,973.3,1.4329093178215244,0.0379528929693758,-0.8705268413772949,1015.1303571428572,978.2946428571428,0,962.2427336580968,1,0,0,0.03135639704087048,0,4.1126132054750475e-05,True,False,True,0,995.4,True,0,0,True,0,0,0,0.6734937900298288,0,0.05672313960969322,1,Neutral (30–70),0,0,2024-09-19,2024-08-13,45.0
2025-12-19,LT,4040.1,4091.5,4040.1,4073.5,1327935,4030.3886189545824,3954.0059238939575,3724.231675710783,50.03775484520516,26.72034531944246,28.703145767857563,-1.9828004484151047,59.77857142857147,4036.15,4110.079796001588,3962.2202039984127,0.0366338198538645,4140.0,3949.1,0.9315811034536028,0.1568758087374453,1.604067518175234,4125.817857142857,3946.482142857143,0,3724.231675710783,1,1,0,0.0475498660799503,0,-0.0006946270683485693,True,False,True,0,4044.55,False,0,0,True,0,0,1,3.7411013480691757,0,0.05045321505473388,1,Neutral (30–70),0,0,2025-06-06,2025-01-24,49.22
2025-12-19,NESTLEIND,1230.8,1246.2,1229.7,1244.4,754446,1242.1164253313314,1240.4248003576338,1205.9042216323128,43.15878378378387,-5.7368089747953945,-5.933454680432375,0.1966457056369801,19.150000000000027,1243.86,1283.1223778672324,1204.5976221327678,0.0631298986497392,1285.8,1205.0,0.857434030531837,0.0479234703308891,-2.4536415158766256,1272.5850000000005,1215.135,0,1205.9042216323128,1,1,0,0.0255920377868891,0,0.0021043955913786706,True,False,True,0,1245.4,True,0,0,False,0,0,1,4.877121132170221,0,0.1116669644452386,1,Neutral (30–70),0,0,2025-09-11,2025-08-07,41.29
2025-12-19,HEROMOTOCO,5725.0,5797.5,5725.0,5781.0,769295,5942.83753209738,5778.311877828869,5106.484963577123,22.20421393841167,10.540964876157886,76.65295124594364,-66.11198636978575,135.10714285714286,6064.95,6426.303581034362,5703.596418965638,0.119161272898989,6388.5,5513.0,1.0524851904808097,0.2226338653028529,-3.312736429911445,6267.6107142857145,5862.289285714285,0,5106.484963577123,1,0,0,0.06230075849593966,0,-0.001638341915678409,True,False,True,0,5950.75,True,0,0,False,0,0,0,7.9501451026773715,0,0.2736285525446134,1,Oversold (≤30),0,0,2025-08-14,2024-11-07,36.19
2025-12-19,ITC,400.25,402.65,400.25,401.05,10654835,402.59273932659534,405.0650070883255,418.2167408715077,43.10344827586206,-1.5290182716699974,-1.5467899168496255,0.0177716451796281,3.782142857142848,402.1825,405.3299760147008,399.0350239852992,0.0156519789632857,408.8,398.2,1.1908503610760592,0.0154449596401503,-1.2819603669522506,407.8557142857143,396.50928571428574,1,418.2167408715077,1,0,0,0.0232114277355518,0,-0.0022625645034119396,True,False,False,0,403.5,True,0,0,True,0,0,0,-0.582310668172514,0,-0.146883641778345,0,Neutral (30–70),0,0,2024-08-19,2024-10-29,41.37
2025-12-19,M&M,3571.0,3615.0,3560.0,3603.6,1647819,3647.6930674464775,3617.9861887600255,3339.1722923113657,34.04993065187237,-12.250016128101834,1.5676602368450916,-13.817676364946925,62.77857142857143,3665.28,3759.126068812446,3571.433931187554,0.0512081307907968,3795.0,3540.1,0.8081142008445672,0.1387793456158728,-3.517153871975287,3759.447857142857,3571.112142857143,1,3339.1722923113657,1,0,0,0.05074056683961596,0,-0.0021595822811805794,True,False,True,0,3667.55,True,0,0,True,0,0,0,3.692212530818836,0,0.16816052644374935,1,Neutral (30–70),0,0,2025-05-14,2025-03-07,32.89
2025-12-19,HDFCLIFE,753.1,773.85,753.1,766.45,3098157,764.7285135066165,762.7613824517126,744.9842282620591,49.82973893303067,0.6998130919770347,1.8457177635309825,-1.1459046715539478,15.017857142857135,766.4675,783.888306525521,749.046693474479,0.0454573912801808,788.5,745.2,1.389247175376057,0.0295169911886129,0.7137897713928476,788.9942857142856,743.9407142857143,0,744.9842282620591,1,1,0,0.04554559128349232,0,-0.0019223603728553192,True,False,True,0,766.85,True,0,0,True,0,0,1,1.292657329224074,0,0.2071029214898812,1,Neutral (30–70),0,0,2025-04-28,2024-11-26,53.18
2025-12-19,MARUTI,16329.0,16475.0,16329.0,16414.0,360190,16199.13868061092,15935.237245911329,14328.684046623794,58.77144438295517,127.9230819310178,105.626230788537,22.29685114248079,220.14285714285717,16170.3,16563.90739188626,15776.69260811374,0.0486827568921121,16536.0,15842.0,1.183538694936568,0.6321245917801466,3.137752251446635,16500.514285714286,15840.085714285711,1,14328.684046623794,1,1,0,0.04541788378066016,0,-0.0014176471355363991,True,False,True,0,16189.0,False,0,0,False,0,0,1,4.930066030727237,0,0.45552895273565674,1,Neutral (30–70),0,0,2025-05-09,2025-03-20,54.91
