Symbol,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,MACDSignal,MACDHist,ATR14,BB_MA20,BB_Upper,BB_Lower,BB_BandWidth,DonchianH20,DonchianL20,RVOL20,RS_vs_Index,RS_ROC20,KC_Upper,KC_Lower,Squeeze,AVWAP60,IndexUpRegime
SENSEXIETF,2025-12-30,970.74,970.74,962.7,966.4,4453,970.4489890565346,964.4914006740108,936.6255593954834,47.96183868169993,0.8098026370646494,1.621922775566172,-0.8121201385015226,7.83142857142857,970.9505,979.8037990579628,962.0972009420368,0.0182363551138044,981.0,960.0,0.2240987987338141,,,982.6976428571428,959.203357142857,1,936.6255593954834,0
SENSEXETF,2025-12-30,86.51,86.97,86.5,86.84,9507,87.08444839892536,86.53346088841403,84.02455606729457,49.883449883449984,0.0901273564765858,0.1639661336556986,-0.0738387771791127,0.6264285714285711,87.13250000000001,87.9125101213905,86.35248987860952,0.0179039995728457,88.14,86.3,0.6422672228884122,,,88.07214285714286,86.19285714285715,1,84.02455606729457,0
ITBEES,2025-12-30,41.35,42.38,41.35,41.76,6405178,41.96571124439678,41.0271290612913,40.70085887934712,48.55875831485586,0.4491082876515975,0.5721976860452251,-0.1230893983936276,1.099285714285713,42.12949999999999,43.14106418741547,41.11793581258451,0.0480216564362492,43.8,40.7,0.6428700873644702,,,43.77842857142856,40.48057142857142,0,40.70085887934712,0
HEALTHIETF,2025-12-30,149.43,149.98,147.84,149.06,60958,150.61076453066642,150.77347426741176,148.14262149459478,48.18376068376068,-0.3861326123461026,-0.2884555329112146,-0.097677079434888,2.222142857142856,150.6135,152.94239650851233,148.28460349148764,0.0309254682815596,157.19,146.15,1.0503625385972652,,,153.94671428571428,147.2802857142857,1,148.14262149459478,0
JUNIORBEES,2025-12-30,741.58,741.58,734.0,739.12,285477,738.0324694782481,738.7569118079488,730.2202170831115,63.657957244655535,-0.3600167679503556,-1.3995347658984378,1.0395179979480822,8.371428571428591,735.8,746.71033117353,724.8896688264699,0.0296556976720033,751.58,714.8,0.9474688264279804,,,748.3571428571429,723.242857142857,1,730.2202170831115,0
LICNETFGSC,2025-12-30,28.87,28.87,28.66,28.73,221164,28.713337193514874,28.671180152678176,28.22807340597437,51.76470588235305,0.0058384918832139,-0.0009236075424684,0.0067620994256823,0.3571428571428569,28.7085,28.85750017661546,28.55949982338453,0.0103802132898244,29.38,27.93,1.7288236418376195,,,29.24421428571428,28.172785714285716,0,28.22807340597437,0
SHARIABEES,2025-12-30,516.85,518.91,515.0,515.72,2813,514.7154950912345,509.8309962026478,509.62466866223485,59.43297164858247,2.710047474103476,2.715850519416988,-0.0058030453135122,5.897857142857126,514.662,522.5425813304136,506.78141866958657,0.0306242983955042,523.34,505.38,0.3223274493964238,,,523.5087857142858,505.8152142857143,0,509.62466866223485,0
GILT5YBEES,2025-12-30,64.4,64.4,63.4,63.49,89623,63.45398596898133,63.37014258964096,62.29797732026697,46.31578947368429,-0.000381966879587,0.0027294216735467,-0.0031113885531337,0.5214285714285712,63.4735,63.69049138959286,63.256508610407145,0.0068372278066549,65.23,62.22,0.5441276914810621,,,64.25564285714286,62.69135714285714,1,62.29797732026697,0
GOLDIETF,2025-12-30,114.41,116.35,114.0,114.84,10548171,113.52137663957755,108.96096403625852,93.9685873278922,65.55054732775272,2.537158632439727,2.435985582114658,0.1011730503250691,2.578571428571427,113.23,119.11146061343428,107.3485393865657,0.1038852002726183,120.85,108.57,1.3129725233461476,,,117.09785714285712,109.36214285714286,0,93.9685873278922,0
LIQUIDBETF,2025-12-30,1063.0,1063.0,1062.94,1062.95,453369,1060.941145375307,1057.852409974945,1042.9788979512648,100.0,1.437978659427927,1.4148882086427497,0.023090450785177,0.2257142857142753,1060.9155,1063.3657500408904,1058.4652499591098,0.0046191238433038,1063.0,1059.03,1.477166780242081,,,1061.2540714285717,1060.5769285714289,0,1042.9788979512648,0
GOLDBEES,2025-12-30,111.78,117.0,110.1,111.17,55356981,109.65660046118468,105.31873858943769,90.91454420335484,66.9909659485754,2.4073078001809023,2.302192695266789,0.1051151049141134,2.1042857142857168,109.374,114.95821610198556,103.78978389801442,0.1021123137488905,117.0,105.39,1.4726383523317212,,,112.53042857142856,106.21757142857142,0,90.91454420335484,0
SDL26BEES,2025-12-30,137.87,139.4,135.01,136.19,3405,135.47778183617004,134.72376567999186,132.17073181513106,58.32083958020973,0.5352311163746606,0.3953016286290346,0.1399294877456259,3.02785714285714,135.33999999999995,136.92472976278407,133.75527023721588,0.0234184980461665,143.99,133.05,0.0257141627264715,,,139.88178571428568,130.79821428571427,0,132.17073181513106,0
ABSLBANETF,2025-12-30,60.1,60.5,59.97,60.44,54868,60.33270807834906,59.75336937951686,57.09129021578271,50.61224489795921,0.1000387152474289,0.1723031825826814,-0.0722644673352525,0.7621428571428568,60.4265,60.84462992188982,60.008370078110175,0.0138392897781543,62.22,58.81,0.536650968540172,,,61.56971428571429,59.28328571428571,0,57.09129021578271,0
LIQGRWBEES,2025-12-30,1021.98,1022.0,1021.98,1021.99,38942,1020.112284984504,1017.2677933210236,1009.2138900471076,100.0,1.350593082519481,1.3335533995843394,0.0170396829351415,0.7542857142857103,1020.0935,1022.383977082002,1017.803022917998,0.0044907198840145,1027.99,1018.32,0.7919265868476575,,,1021.2249285714286,1018.9620714285712,0,1009.2138900471076,0
